;name2;latin.name
1;(copy of grimpereau des jardins);certhia brachydactyla
12;alouette bilophe;eremophila bilopha
15;alouette de clotbey;ramphocoris clotbey
21;ammomane isabelle;ammomanes deserti
22;arlequin plongeur;histrionicus histrionicus
23;astrild ondule;estrilda astrild
24;autour des palombe;accipiter gentilis
25;autour sombre;melierax metabates
41;beccroise bifascie;loxia leucoptera
42;beccroise d'ecosse;loxia scotica
43;beccroise des sapins;loxia curvirostra
44;beccroise perroquet;loxia pytyopsittacus
45;bengali rouge;amandava amandava
57;bis pipit de godlewskii;anthus godlewskii
63;bruant cendre;emberiza cineracea
75;bruant striole;emberiza striolata
77;bulbul des jardins;pycnonotus barbatus
84;canard carolin;aix sponsa
105;chouette de l'oural;strix uralensis
110;chouette lapone;strix nebulosa
118;colin de virgine;colinus virginianus
120;corbeau brun;corvus ruficollis
131;craterope fauve;argya fulva
136;dromoique du desert;scotocerca inquieta
145;engoulevent du desert;caprimulgus aegyptius
146;epervier a pieds courts;accipiter brevipes
154;faisan dore;chrysolophus pictus
168;fauvette de chypre;curruca melanothorax
170;fauvette de ruppel;curruca ruppeli
171;fauvette des jardin;sylvia borin
176;fauvette orphee occidentale;curruca hortensis
177;fauvette orphee orientale;curruca crassirostris
185;francolin a double-eperon;pternistis bicalcaratus
186;francolin noir;francolinus francolinus
194;ganga couronne;pterocles coronatus
195;ganga de lichtenstein;pterocles lichtensteinii
196;ganga tachete;pterocles senegallus
197;ganga unibande;pterocles orientalis
210;goeland a bec cercle ;larus delawarensis
215;goeland d'audoin;ichthyaetus audouinii
227;grande outarde;otis tarda
257;heron gardeboeufs;bubulcus ibis
260;hibou du cap;asio capensis
264;hirondelle de rocher;ptyonoprogne rupestris
265;hirondelle isabelline;ptyonoprogne fuligula
271;hypolais des oliviers;hippolais olivetorum
282;lagopede des saules;lagopus lagopus
307;mesange boreale (alpestre);poecile montanus
308;mesange boreale (de plaine);poecile montanus
311;mesange lapone;poecile cinctus
312;mesange lugubre;poecile lugubris
315;mesangeai imitateur;perisoreus infaustus
316;moineau blanc;passer simplex
334;oie des moissons;anser fabalis
343;perdrix choukar;alectoris chukar
344;perdrix gambra;alectoris barbara
356;pic de levaillant;picus vaillanti
361;pic syriaque;dendrocopos syriacus
364;pic vert de sharp;picus sharpei
372;pie bavarde africaine;pica pica
373;pie bleue;cyanopica cyanus
374;pigeon biset domestique;columba livia
396;pluvier guignard;charadrius morinellus
405;pouillot veloce iberique;phylloscopus ibericus
408;puffin de mediterranee;puffinus yelkouan
415;roitelet triple bandeau;regulus ignicapilla
417;roselin a ailes roses;rhodopechys sanguineus
427;rousserolle effarvate;acrocephalus scirpaceus
436;sirli du desert;alaemon alaudipes
438;sittelle de neumayer;sitta neumayer
456;tchagra a tete noire;tchagra senegalus
462;tourterelle maillee;spilopelia senegalensis
465;traquet a tete grise;oenanthe moesta
466;traquet de chypre;oenanthe cypriaca
467;traquet deuil;oenanthe lugens
471;traquet motteux africain;oenanthe seebohmi
476;turnix mugissant;turnix sylvaticus
477;vanneau eperonne;vanellus spinosus
