STOC_name;Thuiller_name
Cyanistes caeruleus;Parus caeruleus
Regulus ignicapilla;Regulus ignicapillus
Curruca communis;Sylvia communis
Emberiza calandra;Miliaria calandra
Curruca curruca;Sylvia curruca
Curruca hortensis;Sylvia hortensis
Curruca cantillans;Sylvia cantillans
Curruca undata;Sylvia undata
Curruca melanocephala;Sylvia melanocephala
Curruca conspicillata;Sylvia conspicillata
Delichon urbicum;Delichon urbica
Cecropis daurica;Hirundo daurica
Linaria cannabina;Carduelis cannabina
Tachymarptis melba;Apus melba
Poecile montanus;Parus montanus
Lophophanes cristatus;Parus cristatus
Periparus ater;Parus ater
Poecile palustris;Parus palustris
Leiopicus medius;Dendrocopos medius
Dryobates minor;Dendrocopos minor
Lanius meridionalis;Lanius minor
Acanthis flammea;Carduelis flammea
Spinus spinus;Carduelis spinus
Saxicola torquatus;Saxicola torquata
Carduelis citrinella;Serinus citrinella
